iter	Passed	Remaining
1476	10908	11248
1477	10915	11240
1478	10921	11231
1479	10927	11223
1480	10935	11215
1481	10941	11207
1482	10948	11199
1483	10955	11191
1484	10963	11184
1485	10969	11176
1486	10976	11168
1487	10982	11159
1488	11008	11170
1489	11025	11173
1490	11034	11168
1491	11044	11162
1492	11051	11154
1493	11058	11146
1494	11066	11140
1495	11072	11131
1496	11078	11123
1497	11085	11114
1498	11091	11105
1499	11097	11097
1500	11103	11088
1501	11109	11079
1502	11116	11072
1503	11122	11063
1504	11129	11055
1505	11136	11047
1506	11143	11040
1507	11149	11031
1508	11156	11022
1509	11163	11015
1510	11170	11007
1511	11177	11000
1512	11184	10992
1513	11192	10985
1514	11199	10977
1515	11206	10969
1516	11214	10962
1517	11235	10968
1518	11242	10961
1519	11251	10955
1520	11260	10949
1521	11267	10942
1522	11275	10934
1523	11283	10927
1524	11290	10920
1525	11298	10913
1526	11305	10905
1527	11312	10898
1528	11320	10890
1529	11327	10883
1530	11336	10877
1531	11347	10873
1532	11357	10868
1533	11368	10864
1534	11378	10859
1535	11385	10851
1536	11392	10843
1537	11398	10835
1538	11406	10827
1539	11412	10819
1540	11419	10812
1541	11426	10804
1542	11432	10795
1543	11440	10788
1544	11446	10780
1545	11454	10772
1546	11460	10764
1547	11467	10756
1548	11475	10749
1549	11482	10741
1550	11490	10734
1551	11496	10725
1552	11503	10718
1553	11510	10710
1554	11517	10702
1555	11524	10694
1556	11530	10686
1557	11537	10678
1558	11544	10670
1559	11550	10662
1560	11557	10654
1561	11564	10646
1562	11571	10639
1563	11577	10630
1564	11585	10622
1565	11595	10618
1566	11604	10611
1567	11611	10604
1568	11621	10599
1569	11628	10591
1570	11635	10584
1571	11642	10575
1572	11650	10569
1573	11657	10561
1574	11663	10552
1575	11671	10545
1576	11677	10537
1577	11686	10530
1578	11692	10522
1579	11700	10515
1580	11707	10507
1581	11713	10499
1582	11721	10492
1583	11728	10484
1584	11736	10477
1585	11742	10469
1586	11750	10462
1587	11757	10454
1588	11764	10446
1589	11772	10439
1590	11779	10431
1591	11787	10425
1592	11794	10416
1593	11800	10409
1594	11807	10401
1595	11815	10393
1596	11822	10385
1597	11828	10377
1598	11835	10369
1599	11841	10361
1600	11847	10352
1601	11854	10344
1602	11860	10336
1603	11868	10329
1604	11874	10320
1605	11881	10312
1606	11888	10305
1607	11894	10296
1608	11901	10289
1609	11908	10280
1610	11915	10273
1611	11922	10265
1612	11929	10257
1613	11935	10249
1614	11942	10241
1615	11949	10233
1616	11955	10225
1617	11965	10219
1618	11973	10213
1619	11981	10206
1620	11989	10199
1621	11996	10191
1622	12002	10183
1623	12009	10175
1624	12017	10168
1625	12026	10162
1626	12034	10155
1627	12040	10147
1628	12047	10139
1629	12055	10132
1630	12064	10126
1631	12071	10119
1632	12079	10111
1633	12086	10104
1634	12093	10096
1635	12102	10089
1636	12110	10083
1637	12117	10075
1638	12124	10067
1639	12133	10061
1640	12140	10054
1641	12148	10047
1642	12156	10040
1643	12163	10032
1644	12171	10025
1645	12178	10018
1646	12184	10009
1647	12191	10002
1648	12199	9994
1649	12206	9987
1650	12214	9980
1651	12220	9971
1652	12228	9964
1653	12234	9956
1654	12241	9948
1655	12247	9940
1656	12254	9932
1657	12261	9924
1658	12268	9916
1659	12275	9909
1660	12281	9901
1661	12288	9892
1662	12296	9885
1663	12302	9877
1664	12309	9869
1665	12315	9861
1666	12323	9854
1667	12330	9847
1668	12337	9839
1669	12344	9830
1670	12350	9822
1671	12357	9814
1672	12363	9806
1673	12370	9798
1674	12377	9791
